DUPLICATE,HAWB,OVERDUE,SUM,VER,RELEASED,ALL CLEAR,LAST IMPORTED,FIRST IMPORTED,FS DEVAN,OF LOCATION,OF DEVAN,OF PIECE COUNT,PIECE COUNT DIFF,FS LOCATION,FS PIECE COUNT,FS PRIMARY LOCATION,CLIENT NAME,RELEASE DATE,CONSIGNEE
False,AF00057572,True,True,False,True,False,2021-03-05 00:20:30,2021-02-12 07:26:05,2021-01-07 15:30:00,1379A,1/7/2021,42,-36,"R12,1379A,,1 (6)",6,1379A,EXPEDITORS INT'L - AIR IMPORT,2021-02-17 00:00:00,"BANANA REPUBLIC, LLC"
False,417768321,True,True,False,True,False,2021-04-02 09:59:54,2021-02-19 09:27:00,2021-02-06 00:30:00,1383B,2/5/21,78,-72,"R12,1383B,,1 (6)",6,1383B,EXPEDITORS INT'L - AIR IMPORT,2021-03-18 00:00:00,THE GAP INC.
True,45T0241072,True,True,False,True,False,2021-02-19 09:46:42,2021-02-19 09:27:00,2021-01-20 03:10:00,1374B,20-Jan,8,6,"R12,1368C,1374B,2 (14)",14,1368C,EXPEDITORS INT'L - AIR IMPORT,2021-02-17 00:00:00,"OLD NAVY, LLC"
True,4396746415,False,True,False,False,False,2021-02-19 09:46:42,2021-02-19 09:27:01,2021-02-13 10:00:00,1371B,12-Feb,8,-3,"R12,1371B,, (5)",5,1371B,EXPEDITORS INT'L - AIR IMPORT,None,AVNET - TECHNOLOGY S
False,4621186379,True,True,False,True,False,2021-02-26 09:31:56,2021-02-19 09:27:01,2021-01-28 22:00:00,1369B,28-Jan,10,-9,"R12,1369A,, (1)",1,1369A,EXPEDITORS INT'L - AIR IMPORT,2021-02-04 00:00:00,THE GAP INC.
True,4396745752,False,True,False,False,False,2021-02-19 09:46:42,2021-02-19 09:27:01,2021-02-14 23:50:00,1362A,2/14/2021,32,16,"CHK,1362A,, (8)",48,1362A,EXPEDITORS INT'L - AIR IMPORT,None,SCHENKER INTERNATION
True,4831218788,True,True,False,False,False,2021-02-19 09:46:42,2021-02-19 09:27:01,2021-02-10 23:50:00,1332A,1/10/2021,8,367,"R12,1332A-C,, (375)",375,1332A-C,EXPEDITORS INT'L - AIR IMPORT,None,PHILIPS CONSUMER LIF
True,42Y0014423,False,True,False,False,False,2021-02-19 09:46:43,2021-02-19 09:27:01,2021-02-15 23:50:00,1327A,14-Feb,152,-87,"CHK,1401C,,2 (46)",65,1401C,EXPEDITORS INT'L - AIR IMPORT,None,AMERICAN EAGLE MEXIC
True,4396742915,False,True,False,False,False,2021-02-19 09:46:43,2021-02-19 09:27:02,2021-02-13 13:00:00,1322A,2/13/2021,16,-2,"R12,1322BC,,2 (14)",14,1322BC,EXPEDITORS INT'L - AIR IMPORT,None,CHAPTER 4 CORP. LA
True,4913934461,False,True,False,True,False,2021-02-19 09:46:43,2021-02-19 09:27:02,2021-02-15 12:31:00,1305C,14-Feb,48,287,"S4,308,,5 (335)",335,308,EXPEDITORS INT'L - AIR IMPORT,2021-02-19 00:00:00,TE CONNECTIVITY CORP
True,41N0464054,False,True,False,False,False,2021-02-19 09:46:43,2021-02-19 09:27:02,2021-02-15 12:31:00,1266A,14-Feb,312,-131,"CHK,500,,5 (168)",181,500,EXPEDITORS INT'L - AIR IMPORT,None,UBIQUITI NETWORKS
False,41r0017208,True,True,False,True,False,2021-02-26 09:31:57,2021-02-19 09:27:02,2021-01-16 00:20:00,1260A,25-Jan,10,166,"CHK,1260A,, (9)",176,1260A,EXPEDITORS INT'L - AIR IMPORT,2021-01-18 00:00:00,MERIT MEDICAL SYSTEM
True,658758,False,True,True,False,False,2021-02-19 09:46:44,2021-02-19 09:27:02,N.A.,1257A,2/11/2021,8,-8,N.A.,0,N.A.,N.A.,0,0
False,43Z1137230,True,True,False,True,False,2021-04-30 11:24:01,2021-02-19 09:27:02,2020-12-16 19:00:00,1237A,1/28/21,132,91,"S11,904-06,,10 (223)",223,904-06,N.A.,2020-12-18 00:00:00,"NORDSTROM, INC."
False,4621186380,True,True,False,True,False,2021-04-23 10:22:36,2021-02-19 09:27:02,2021-01-28 22:00:00,1233B,28-Jan,78,-72,"R12,1287D,,1 (6)",6,1287D,EXPEDITORS INT'L - AIR IMPORT,2021-02-04 00:00:00,THE GAP INC.
True,4711533232,True,True,False,False,False,2021-02-19 09:46:44,2021-02-19 09:27:03,2021-02-06 16:34:00,1387C,6-Feb,8,-7,"R12,1387D,, (1)",1,1387D,EXPEDITORS INT'L - AIR IMPORT,None,COMAV TECHNICAL SERV
True,4431677711,True,True,False,True,False,2021-02-19 09:46:45,2021-02-19 09:27:03,2021-01-25 21:50:00,1387C,25-Jan,8,-6,"S2,156,, (2)",2,156,EXPEDITORS INT'L - AIR IMPORT,2021-01-27 00:00:00,3M ONTARIO WDC
True,41X0071909,True,True,False,False,False,2021-02-19 09:46:45,2021-02-19 09:27:03,2021-01-08 17:10:00,1385C,1/8/2021,8,-7,"R12,1384B,, (1)",1,1384B,EXPEDITORS INT'L - AIR IMPORT,None,COMAV TECHNICAL SERV
True,4711541760,False,True,False,False,False,2021-02-19 09:46:45,2021-02-19 09:27:03,2021-02-13 20:00:00,1385A,2/14/2021,8,-7,"R12,1385B,,1 (1)",1,1385B,EXPEDITORS INT'L - AIR IMPORT,None,HEWLETT PACKARD C/O
True,4396742956,False,True,False,True,False,2021-02-19 09:46:45,2021-02-19 09:27:03,2021-02-12 19:25:00,547,2/12/2021,8,77,"S4,303,, (85)",85,303,EXPEDITORS INT'L - AIR IMPORT,2021-02-13 00:00:00,"HAND HELD PRODUCTS,"
True,421313459,False,True,True,False,False,2021-02-19 09:46:46,2021-02-19 09:27:03,N.A.,538,12/4/2020,17168,-17168,N.A.,0,N.A.,N.A.,0,0
True,4913934739,False,True,False,False,False,2021-02-19 09:46:46,2021-02-19 09:27:03,2021-02-15 12:31:00,531,2/14/2021,200,-150,"CHK,531,, (25)",50,531,EXPEDITORS INT'L - AIR IMPORT,None,SCHENKER INTERNATION
True,4913934461,False,True,False,True,False,2021-02-19 09:46:43,2021-02-19 09:46:32,2021-02-15 12:31:00,1305C,14-Feb,48,287,"S4,308,,5 (335)",335,308,EXPEDITORS INT'L - AIR IMPORT,2021-02-19 00:00:00,TE CONNECTIVITY CORP
True,4913932249,True,False,False,False,False,2021-02-19 09:46:46,2021-02-19 09:46:32,2021-02-10 13:00:00,521,2/10/2021,178,0,"CHK,531,,3 (156)",178,531,EXPEDITORS INT'L - AIR IMPORT,None,FLEXTRONICS TECHNOLO
True,43Z1140637,True,False,False,False,False,2021-02-19 09:46:47,2021-02-19 09:46:32,2021-02-11 00:59:00,501,2/11/2021,161,0,"CHK,501,,4 (160)",161,501,EXPEDITORS INT'L - AIR IMPORT,None,"NEMO EQUIPMENT, INC."
True,41N0464054,False,True,False,False,False,2021-02-19 09:46:43,2021-02-19 09:46:32,2021-02-15 12:31:00,1266A,14-Feb,312,-131,"CHK,500,,5 (168)",181,500,EXPEDITORS INT'L - AIR IMPORT,None,UBIQUITI NETWORKS
True,41N0464054,False,True,False,False,False,2021-02-19 09:46:43,2021-02-19 09:46:32,2021-02-15 12:31:00,1266A,14-Feb,312,-131,"CHK,500,,5 (168)",181,500,EXPEDITORS INT'L - AIR IMPORT,None,UBIQUITI NETWORKS
False,4701052593,True,True,False,False,False,2021-02-26 09:31:50,2021-02-19 09:46:32,2021-02-14 19:50:00,1352D,18-Feb,60,254,"R16,256A,1361/62D,11 (282)",314,256A,EXPEDITORS INT'L - AIR IMPORT,None,"TOMMY JOHN, INC"
False,4701052593,True,True,False,False,False,2021-02-26 09:31:50,2021-02-19 09:46:33,2021-02-14 19:50:00,1352D,18-Feb,60,254,"R16,256A,1361/62D,11 (282)",314,256A,EXPEDITORS INT'L - AIR IMPORT,None,"TOMMY JOHN, INC"
False,4701052593,True,True,False,False,False,2021-02-26 09:31:50,2021-02-19 09:46:33,2021-02-14 19:50:00,1352D,18-Feb,60,254,"R16,256A,1361/62D,11 (282)",314,256A,EXPEDITORS INT'L - AIR IMPORT,None,"TOMMY JOHN, INC"
False,4701052593,True,True,False,False,False,2021-02-26 09:31:50,2021-02-19 09:46:33,2021-02-14 19:50:00,1352D,18-Feb,60,254,"R16,256A,1361/62D,11 (282)",314,256A,EXPEDITORS INT'L - AIR IMPORT,None,"TOMMY JOHN, INC"
True,41N0464054,False,True,False,False,False,2021-02-19 09:46:43,2021-02-19 09:46:33,2021-02-15 12:31:00,1266A,14-Feb,312,-131,"CHK,500,,5 (168)",181,500,EXPEDITORS INT'L - AIR IMPORT,None,UBIQUITI NETWORKS
True,4431678389,True,True,False,False,False,2021-02-19 09:46:48,2021-02-19 09:46:33,2021-02-08 10:35:00,w344,8-Feb,4,57,"CHK,341 A,342 B, (61)",61,341 A,EXPEDITORS INT'L - AIR IMPORT,None,TE CONNECTIVITY CORP
True,421865544,False,True,False,False,False,2021-02-19 09:46:48,2021-02-19 09:46:33,2021-02-14 23:30:00,405,14-Feb,4,72,"CHK,1227B,, (16)",76,1227B,EXPEDITORS INT'L - AIR IMPORT,None,HYCLONE LABORATORIES
True,AF00057759,False,False,False,False,False,2021-02-19 09:46:48,2021-02-19 09:46:34,2021-02-14 23:45:00,419 a,2/14/2021,5,0,"R26,419B,,1 (5)",5,419B,EXPEDITORS INT'L - AIR IMPORT,None,THE GAP INC.
True,421034387,True,False,False,True,False,2021-02-19 09:46:48,2021-02-19 09:46:34,2021-02-06 21:54:00,408,2/13/2021,113,0,"S6,532,,5 (113)",113,532,EXPEDITORS INT'L - AIR IMPORT,2021-02-10 00:00:00,"STANCE, INC."
True,4913935284,False,True,False,False,False,2021-02-19 09:46:48,2021-02-19 09:46:34,2021-02-12 22:30:00,219A,12-Feb,2,85,"R16,222A,, (87)",87,222A,EXPEDITORS INT'L - AIR IMPORT,None,CORSAIR MEMORY INC
True,45T0242099,True,True,False,True,False,2021-02-19 09:46:48,2021-02-19 09:46:34,2021-02-05 20:30:00,209A,7-Feb,121,229,"GN,G338,1252B,12 (350)",350,G338,EXPEDITORS INT'L - AIR IMPORT,2021-02-09 00:00:00,UBIQUITI NETWORKS
False,4812301459,True,True,False,False,False,2021-02-26 09:31:55,2021-02-19 09:46:34,2021-02-12 10:30:00,203C,14-Feb,3,223,"S4,344A,200A, (226)",226,344A,EXPEDITORS INT'L - AIR IMPORT,None,"EXTREME NETWORKS, IN"
True,41N0463224,False,True,False,False,False,2021-02-19 09:46:49,2021-02-19 09:46:35,2021-02-13 15:50:00,200A,2/13/2021,1,719,"CHK,200A,319, (123)",720,200A,EXPEDITORS INT'L - AIR IMPORT,None,S&C ELECTRIC MEXICAN
True,418564875,False,True,False,False,False,2021-02-19 09:46:49,2021-02-19 09:46:35,2021-02-13 22:49:00,324,13-Feb,2,8,"S4,325,, (10)",10,325,EXPEDITORS INT'L - AIR IMPORT,None,ALCON LABORATORIES
True,4812301504,True,True,False,False,False,2021-02-19 09:46:49,2021-02-19 09:46:35,2021-02-09 19:00:00,321,2/11/2021,6,193,"CHK,310,,6 (163)",199,310,EXPEDITORS INT'L - AIR IMPORT,None,KAMAYA INC.
True,6911460924,True,True,False,False,False,2021-02-19 09:46:49,2021-02-19 09:46:35,2021-02-11 13:00:00,1344D,11-Feb,30,53,"R12,1344-46D,,3 (83)",83,1344-46D,EXPEDITORS INT'L - INLAND DEPT.,None,"FOSSIL PARTNERS, L.P"
